Entity,Code,Year,Coal per capita (kWh)
Africa,,1965,1010.461
Africa,,1966,984.359
Africa,,1967,981.168
Africa,,1968,994.882
Africa,,1969,978.624
Africa,,1970,992.598
Africa,,1971,1026.889
Africa,,1972,1003.587
Africa,,1973,1040.368
Africa,,1974,1054.505
Africa,,1975,1087.795
Africa,,1976,1128.9
Africa,,1977,1122.46
Africa,,1978,1060.861
Africa,,1979,1095.133
Africa,,1980,1141.002
Africa,,1981,1297.539
Africa,,1982,1391.129
Africa,,1983,1375.65
Africa,,1984,1430.403
Africa,,1985,1434.796
Africa,,1986,1427.109
Africa,,1987,1427.095
Africa,,1988,1491.435
Africa,,1989,1362.029
Africa,,1990,1392.577
Africa,,1991,1317.994
Africa,,1992,1291.627
Africa,,1993,1278.274
Africa,,1994,1278.398
Africa,,1995,1285.155
Africa,,1996,1270.876
Africa,,1997,1271.427
Africa,,1998,1212.148
Africa,,1999,1219.806
Africa,,2000,1187.785
Africa,,2001,1174.131
Africa,,2002,1097.267
Africa,,2003,1165.624
Africa,,2004,1251.105
Africa,,2005,1133.032
Africa,,2006,1120.907
Africa,,2007,1111.278
Africa,,2008,1194.266
Africa,,2009,1159.305
Africa,,2010,1119.011
Africa,,2011,1074.489
Africa,,2012,1021.41
Africa,,2013,1005.848
Africa,,2014,1026.63
Africa,,2015,945.132
Africa,,2016,979.185
Africa,,2017,954.397
Africa,,2018,914.991
Africa,,2019,916.798
Africa,,2020,851.202
Algeria,DZA,1965,64.864
Algeria,DZA,1966,61.293
Algeria,DZA,1967,45.556
Algeria,DZA,1968,46.814
Algeria,DZA,1969,57.895
Algeria,DZA,1970,66.733
Algeria,DZA,1971,17.986
Algeria,DZA,1972,15.217
Algeria,DZA,1973,17.027
Algeria,DZA,1974,13.683
Algeria,DZA,1975,16.807
Algeria,DZA,1976,31.992
Algeria,DZA,1977,40.348
Algeria,DZA,1978,19.916
Algeria,DZA,1979,44.904
Algeria,DZA,1980,38.723
Algeria,DZA,1981,26.399
Algeria,DZA,1982,474.801
Algeria,DZA,1983,410.597
Algeria,DZA,1984,441.397
Algeria,DZA,1985,446.919
Algeria,DZA,1986,445.519
Algeria,DZA,1987,517.557
Algeria,DZA,1988,473.413
Algeria,DZA,1989,389.579
Algeria,DZA,1990,297.535
Algeria,DZA,1991,299.556
Algeria,DZA,1992,347.674
Algeria,DZA,1993,276.91
Algeria,DZA,1994,255.57
Algeria,DZA,1995,250.736
Algeria,DZA,1996,116.036
Algeria,DZA,1997,200.201
Algeria,DZA,1998,211.085
Algeria,DZA,1999,222.928
Algeria,DZA,2000,181.706
Algeria,DZA,2001,207.074
Algeria,DZA,2002,268.342
Algeria,DZA,2003,218.44
Algeria,DZA,2004,257.202
Algeria,DZA,2005,208.395
Algeria,DZA,2006,304.916
Algeria,DZA,2007,257.673
Algeria,DZA,2008,253.492
Algeria,DZA,2009,159.965
Algeria,DZA,2010,100.21
Algeria,DZA,2011,87.238
Algeria,DZA,2012,90.84
Algeria,DZA,2013,48.179
Algeria,DZA,2014,53.483
Algeria,DZA,2015,38.935
Algeria,DZA,2016,14.053
Algeria,DZA,2017,51.14
Algeria,DZA,2018,137.704
Algeria,DZA,2019,111.565
Algeria,DZA,2020,109.534
Argentina,ARG,1965,381.552
Argentina,ARG,1966,309.941
Argentina,ARG,1967,343.442
Argentina,ARG,1968,328.857
Argentina,ARG,1969,387.887
Argentina,ARG,1970,490.885
Argentina,ARG,1971,423.649
Argentina,ARG,1972,350.92
Argentina,ARG,1973,379.005
Argentina,ARG,1974,464.449
Argentina,ARG,1975,445.026
Argentina,ARG,1976,443.279
Argentina,ARG,1977,412.901
Argentina,ARG,1978,495.887
Argentina,ARG,1979,455.086
Argentina,ARG,1980,399.498
Argentina,ARG,1981,372.655
Argentina,ARG,1982,370.42
Argentina,ARG,1983,330.803
Argentina,ARG,1984,241.625
Argentina,ARG,1985,350.791
Argentina,ARG,1986,394.455
Argentina,ARG,1987,430.974
Argentina,ARG,1988,434.885
Argentina,ARG,1989,463.566
Argentina,ARG,1990,376.047
Argentina,ARG,1991,326.31
Argentina,ARG,1992,362.911
Argentina,ARG,1993,237.562
Argentina,ARG,1994,205.365
Argentina,ARG,1995,212.878
Argentina,ARG,1996,220.358
Argentina,ARG,1997,171.85
Argentina,ARG,1998,228.415
Argentina,ARG,1999,271.078
Argentina,ARG,2000,203.756
Argentina,ARG,2001,165.171
Argentina,ARG,2002,121.711
Argentina,ARG,2003,146.867
Argentina,ARG,2004,247.32
Argentina,ARG,2005,281.842
Argentina,ARG,2006,252.58
Argentina,ARG,2007,361.865
Argentina,ARG,2008,437.026
Argentina,ARG,2009,237.655
Argentina,ARG,2010,329.425
Argentina,ARG,2011,353.787
Argentina,ARG,2012,327.365
Argentina,ARG,2013,354.045
Argentina,ARG,2014,372.717
Argentina,ARG,2015,367.127
Argentina,ARG,2016,280.144
Argentina,ARG,2017,285.073
Argentina,ARG,2018,309.035
Argentina,ARG,2019,181.417
Argentina,ARG,2020,196.041
Australia,AUS,1965,17857.74
Australia,AUS,1966,18061.054
Australia,AUS,1967,18088.791
Australia,AUS,1968,18148.33
Australia,AUS,1969,18314.5
Australia,AUS,1970,18111.005
Australia,AUS,1971,17844.496
Australia,AUS,1972,18342.477
Australia,AUS,1973,18834.892
Australia,AUS,1974,19408.932
Australia,AUS,1975,19787.711
Australia,AUS,1976,20220.832
Australia,AUS,1977,20874.923
Australia,AUS,1978,21184.14
Australia,AUS,1979,21892.866
Australia,AUS,1980,22261.807
Australia,AUS,1981,22544.07
Australia,AUS,1982,22476.551
Australia,AUS,1983,22149.635
Australia,AUS,1984,23075.891
Australia,AUS,1985,23502.738
Australia,AUS,1986,23715.063
Australia,AUS,1987,24306.838
Australia,AUS,1988,25149.388
Australia,AUS,1989,25963.802
Australia,AUS,1990,26198.812
Australia,AUS,1991,26369.078
Australia,AUS,1992,26201.24
Australia,AUS,1993,26068.499
Australia,AUS,1994,26309.16
